organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
New York Preventative Health Center,clinic,clinic,clinic,,68-60 Austin Street,,40.7222357,-73.8507501,1.97
Forest Hills Audiology,doctors,doctors,doctor,,110-11 72nd Avenue,Forest Hills,40.7211021,-73.8398281,1.98
Horizon Dental,dentist,dentist,dentist,,107-50 Queens Boulevard,,40.721301,-73.8445202,1.98
Austin Care Pharmacy,pharmacy,pharmacy,pharmacy,,68-60 Queens Boulevard,,40.7221165,-73.8504343,1.98
Digestive Disease Care,doctors,doctors,doctor,,Queens Boulevard,,40.7213558,-73.844858,1.98
Duo Dental Spa,dentist,dentist,dentist,,,,40.7216367,-73.8491465,1.99
Rey Pharmacy LLC,pharmacy,pharmacy,pharmacy,,69-02 Austin Street,,40.7216761,-73.8492528,1.99
K & W Dental,dentist,dentist,dentist,,107-37 71st Avenue,Forest Hills,40.7211714,-73.8443505,1.99
Zen Acupuncture & Healing,alternative,,alternative,,107-21 71st Avenue,,40.7208273,-73.8446081,2.01
Asthma & Allergy,doctors,doctors,doctor,,Queens Boulevard,,40.7206752,-73.8414743,2.01
Achieve Beyond,clinic,clinic,clinic,,70-00 Austin Street,,40.7212553,-73.8481375,2.01
Schrier Optometric,optometrist,,optometrist,,,,40.7250434,-73.8206835,2.01
Summit Health,clinic,clinic,clinic,,Austin Street,,40.7212313,-73.8480826,2.01
Main Pharmacy,pharmacy,pharmacy,pharmacy,,72-71 Main Street,,40.7249415,-73.8206363,2.02
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7208949,-73.8471292,2.02
Dental 365,dentist,dentist,dentist,,,,40.7209513,-73.8465548,2.02
Medical Office,centre,,centre,,89-04 Northern Boulevard,,40.7561108,-73.8786257,2.03
Forest Hills Orthodontics,dentist,dentist,dentist,,,,40.7204196,-73.8424248,2.03
NY Best Medical,doctors,doctors,doctor,,70-10 Austin Street,Forest Hills,40.7207443,-73.8466842,2.03
VIP Dental Care,dentist,dentist,dentist,,,,40.7203673,-73.8423178,2.04
CityMD,clinic,clinic,clinic,,70-49 Austin Street,,40.7204683,-73.8452938,2.04
Central Queens Charter School,school,school,,,,,40.7362939,-73.8753985,2.04
